date,cities,pct_chng_feb_1
2020-02-05,Blackburn,-1.49
2020-02-05,Blackpool,0.93
2020-02-05,Cambridge,-0.54
2020-02-05,Doncaster,0.18
2020-02-05,Edinburgh,0.5
2020-02-05,Leicester,-1.31
2020-02-05,Liverpool,2.73
2020-02-05,Mansfield,1.44
2020-02-05,Newcastle,1.76
2020-02-05,Sheffield,0.42
2020-02-05,Wakefield,0.82
2020-02-05,Birkenhead,0.33
2020-02-05,Birmingham,3.01
2020-02-05,Gloucester,1.98
2020-02-05,Manchester,1.07
2020-02-05,Nottingham,-0.33
2020-02-05,Portsmouth,-0.1
2020-02-05,Sunderland,1.25
2020-02-05,Warrington,2.75
2020-02-05,Bournemouth,0.85
2020-02-05,Northampton,-0.57
2020-02-05,Southampton,0.79
2020-02-05,Huddersfield,0.98
2020-02-05,Peterborough,-0.15
2020-02-05,Middlesbrough,-0.97
2020-02-05,Milton Keynes,0.68
2020-02-06,Hull,0.42
2020-02-06,York,2.33
2020-02-06,Derby,2.51
2020-02-06,Leeds,1.34
2020-02-06,Luton,1.56
2020-02-06,Stoke,-0.2
2020-02-06,Wigan,0.63
2020-02-06,Dundee,0.71
2020-02-06,Exeter,1.42
2020-02-06,London,0.38
2020-02-06,Oxford,-0.15
2020-02-06,Slough,0.41
2020-02-06,Belfast,-0.17
2020-02-06,Bristol,-0.44
2020-02-06,Burnley,-2.28
2020-02-06,Cardiff,1.6
2020-02-06,Chatham,2.32
2020-02-06,Crawley,1.27
2020-02-06,Glasgow,0.71
2020-02-06,Ipswich,0.95
2020-02-06,Newport,0.44
2020-02-06,Norwich,0.19
2020-02-06,Preston,-1.59
2020-02-06,Reading,-0.05
2020-02-06,Swansea,0.39
2020-02-06,Swindon,2.6
2020-02-06,Telford,2.17
2020-02-06,Aberdeen,0.46
2020-02-06,Barnsley,0.18
2020-02-06,Basildon,-1.22
2020-02-06,Bradford,5.48
2020-02-06,Brighton,1.16
2020-02-06,Coventry,1.14
2020-02-06,Plymouth,2.44
2020-02-06,Southend,-0.26
2020-02-06,Worthing,1.96
2020-02-06,Aldershot,0.53
2020-02-06,Blackburn,-1.81
2020-02-06,Blackpool,0.74
2020-02-06,Cambridge,-0.76
2020-02-06,Doncaster,0.18
2020-02-06,Edinburgh,0.46
2020-02-06,Leicester,-1.55
2020-02-06,Liverpool,3.14
2020-02-06,Mansfield,0.99
2020-02-06,Newcastle,1.94
2020-02-06,Sheffield,0.33
2020-02-06,Wakefield,1.22
2020-02-06,Birkenhead,0.44
2020-02-06,Birmingham,3.61
2020-02-06,Gloucester,2.42
2020-02-06,Manchester,1.19
2020-02-06,Nottingham,-0.6
2020-02-06,Portsmouth,-0.44
2020-02-06,Sunderland,1.54
2020-02-06,Warrington,3.08
2020-02-06,Bournemouth,0.72
2020-02-06,Northampton,-0.34
2020-02-06,Southampton,0.57
2020-02-06,Huddersfield,0.92
2020-02-06,Peterborough,-0.29
2020-02-06,Middlesbrough,-1.38
2020-02-06,Milton Keynes,0.72
2020-02-07,Hull,0.65
2020-02-07,York,2.29
2020-02-07,Derby,2.88
2020-02-07,Leeds,1.42
2020-02-07,Luton,1.74
2020-02-07,Stoke,-0.15
2020-02-07,Wigan,0.54
2020-02-07,Dundee,0.31
2020-02-07,Exeter,1.5
2020-02-07,London,0.5
2020-02-07,Oxford,0.12
2020-02-07,Slough,0.36
2020-02-07,Belfast,-0.15
2020-02-07,Bristol,-0.36
2020-02-07,Burnley,-2.57
2020-02-07,Cardiff,1.66
2020-02-07,Chatham,2.31
2020-02-07,Crawley,1.15
2020-02-07,Glasgow,1.1
2020-02-07,Ipswich,0.86
2020-02-07,Newport,0.67
2020-02-07,Norwich,-0.07
2020-02-07,Preston,-1.46
2020-02-07,Reading,0.08
2020-02-07,Swansea,0.28
2020-02-07,Swindon,2.99
2020-02-07,Telford,2.91
2020-02-07,Aberdeen,0.61
2020-02-07,Barnsley,-0.31
2020-02-07,Basildon,-1.99
2020-02-07,Bradford,6.67
2020-02-07,Brighton,1.1
2020-02-07,Coventry,1.08
2020-02-07,Plymouth,2.67
2020-02-07,Southend,-0.47
2020-02-07,Worthing,2.48
2020-02-07,Aldershot,0.66
