date,jobcountry,indeed_job_postings_index,variable,display_name
2021-04-13,GB,67.36,total postings,Accounting
2021-04-14,GB,67.81,total postings,Accounting
2021-04-15,GB,68.08,total postings,Accounting
2021-04-16,GB,68.26,total postings,Accounting
2021-04-17,GB,68.65,total postings,Accounting
2021-04-18,GB,68.97,total postings,Accounting
2021-04-19,GB,69.24,total postings,Accounting
2021-04-20,GB,69.45,total postings,Accounting
2021-04-21,GB,69.69,total postings,Accounting
2021-04-22,GB,70.02,total postings,Accounting
2021-04-23,GB,70.35,total postings,Accounting
2021-04-24,GB,70.68,total postings,Accounting
2021-04-25,GB,70.88,total postings,Accounting
2021-04-26,GB,71.3,total postings,Accounting
2021-04-27,GB,71.57,total postings,Accounting
2021-04-28,GB,71.74,total postings,Accounting
2021-04-29,GB,71.94,total postings,Accounting
2021-04-30,GB,72.02,total postings,Accounting
2021-05-01,GB,72.04,total postings,Accounting
2021-05-02,GB,72.18,total postings,Accounting
2021-05-03,GB,72.32,total postings,Accounting
2021-05-04,GB,72.38,total postings,Accounting
2021-05-05,GB,72.57,total postings,Accounting
2021-05-06,GB,72.71,total postings,Accounting
2021-05-07,GB,72.89,total postings,Accounting
2021-05-08,GB,73.13,total postings,Accounting
2021-05-09,GB,73.26,total postings,Accounting
2021-05-10,GB,73.12,total postings,Accounting
2021-05-11,GB,73.22,total postings,Accounting
2021-05-12,GB,73.27,total postings,Accounting
2021-05-13,GB,73.26,total postings,Accounting
2021-05-14,GB,73.27,total postings,Accounting
2021-05-15,GB,73.15,total postings,Accounting
2021-05-16,GB,72.94,total postings,Accounting
2021-05-17,GB,72.83,total postings,Accounting
2021-05-18,GB,72.65,total postings,Accounting
2021-05-19,GB,72.55,total postings,Accounting
2021-05-20,GB,72.65,total postings,Accounting
2021-05-21,GB,72.79,total postings,Accounting
2021-05-22,GB,73.03,total postings,Accounting
2021-05-23,GB,73.45,total postings,Accounting
2021-05-24,GB,73.85,total postings,Accounting
2021-05-25,GB,74.17,total postings,Accounting
2021-05-26,GB,74.57,total postings,Accounting
2021-05-27,GB,74.77,total postings,Accounting
2021-05-28,GB,74.94,total postings,Accounting
2021-05-29,GB,75.09,total postings,Accounting
2021-05-30,GB,75.21,total postings,Accounting
2021-05-31,GB,75.35,total postings,Accounting
2021-06-01,GB,75.43,total postings,Accounting
2021-06-02,GB,75.22,total postings,Accounting
2021-06-03,GB,75.34,total postings,Accounting
2021-06-04,GB,75.47,total postings,Accounting
2021-06-05,GB,75.61,total postings,Accounting
2021-06-06,GB,75.86,total postings,Accounting
2021-06-07,GB,76.16,total postings,Accounting
2021-06-08,GB,76.53,total postings,Accounting
2021-06-09,GB,77.14,total postings,Accounting
2021-06-10,GB,77.25,total postings,Accounting
