date,region,indeed_job_postings_index
2021-07-11,East Midlands,134.71
2021-07-12,East Midlands,135.1
2021-07-13,East Midlands,135.3
2021-07-14,East Midlands,135.52
2021-07-15,East Midlands,135.79
2021-07-16,East Midlands,135.92
2021-07-17,East Midlands,136.14
2021-07-18,East Midlands,136.51
2021-07-19,East Midlands,136.92
2021-07-20,East Midlands,137.41
2021-07-21,East Midlands,138.03
2021-07-22,East Midlands,138.5
2021-07-23,East Midlands,138.89
2021-07-24,East Midlands,139.48
2021-07-25,East Midlands,139.98
2021-07-26,East Midlands,140.49
2021-07-27,East Midlands,141.19
2021-07-28,East Midlands,141.68
2021-07-29,East Midlands,142.36
2021-07-30,East Midlands,143.11
2021-07-31,East Midlands,143.33
2021-08-01,East Midlands,143.26
2021-08-02,East Midlands,143.1
2021-08-03,East Midlands,142.91
2021-08-04,East Midlands,142.84
2021-08-05,East Midlands,142.81
2021-08-06,East Midlands,142.73
2021-08-07,East Midlands,142.91
2021-08-08,East Midlands,143.33
2021-08-09,East Midlands,143.89
2021-08-10,East Midlands,144.32
2021-08-11,East Midlands,144.81
2021-08-12,East Midlands,145.23
2021-08-13,East Midlands,145.91
2021-08-14,East Midlands,146.63
2021-08-15,East Midlands,147.43
2021-08-16,East Midlands,148.17
2021-08-17,East Midlands,148.83
2021-08-18,East Midlands,149.57
2021-08-19,East Midlands,150.35
2021-08-20,East Midlands,150.99
2021-08-21,East Midlands,151.74
2021-08-22,East Midlands,152.45
2021-08-23,East Midlands,152.99
2021-08-24,East Midlands,153.76
2021-08-25,East Midlands,154.41
2021-08-26,East Midlands,155.08
2021-08-27,East Midlands,155.69
2021-08-28,East Midlands,156.24
2021-08-29,East Midlands,156.61
2021-08-30,East Midlands,157.33
2021-08-31,East Midlands,157.27
2021-09-01,East Midlands,156.6
2021-09-02,East Midlands,155.8
2021-09-03,East Midlands,154.98
2021-09-04,East Midlands,154.15
2021-09-05,East Midlands,153.47
2021-09-06,East Midlands,152.65
2021-09-07,East Midlands,152.48
2021-09-08,East Midlands,152.92
2021-09-09,East Midlands,153.38
2021-09-10,East Midlands,154.1
2021-09-11,East Midlands,154.8
2021-09-12,East Midlands,155.43
2021-09-13,East Midlands,156.02
2021-09-14,East Midlands,156.5
2021-09-15,East Midlands,157.03
2021-09-16,East Midlands,157.64
2021-09-17,East Midlands,158.12
2021-09-18,East Midlands,158.46
2021-09-19,East Midlands,158.88
2021-09-20,East Midlands,159.36
2021-09-21,East Midlands,159.9
2021-09-22,East Midlands,160.21
2021-09-23,East Midlands,160.32
2021-09-24,East Midlands,160.43
2021-09-25,East Midlands,160.51
2021-09-26,East Midlands,160.61
2021-09-27,East Midlands,160.61
2021-09-28,East Midlands,160.66
2021-09-29,East Midlands,160.88
2021-09-30,East Midlands,161.24
2021-10-01,East Midlands,161.23
2021-10-02,East Midlands,161.54
2021-10-03,East Midlands,161.78
2021-10-04,East Midlands,162.04
2021-10-05,East Midlands,162.22
2021-10-06,East Midlands,162.43
2021-10-07,East Midlands,162.61
2021-10-08,East Midlands,163.06
2021-10-09,East Midlands,163.46
2021-10-10,East Midlands,164.07
2021-10-11,East Midlands,164.6
2021-10-12,East Midlands,165.09
2021-10-13,East Midlands,165.56
2021-10-14,East Midlands,165.85
2021-10-15,East Midlands,166.13
2021-10-16,East Midlands,166.26
2021-10-17,East Midlands,166.31
2021-10-18,East Midlands,166.37
2021-10-19,East Midlands,166.4
2021-10-20,East Midlands,166.27
2021-10-21,East Midlands,166.39
2021-10-22,East Midlands,166.44
2021-10-23,East Midlands,166.55
2021-10-24,East Midlands,166.61
2021-10-25,East Midlands,166.74
2021-10-26,East Midlands,166.76
2021-10-27,East Midlands,167
2021-10-28,East Midlands,167.04
2021-10-29,East Midlands,167.35
2021-10-30,East Midlands,167.65
2021-10-31,East Midlands,167.74
2021-11-01,East Midlands,167.55
2021-11-02,East Midlands,167.38
2021-11-03,East Midlands,167.13
2021-11-04,East Midlands,167.28
2021-11-05,East Midlands,167.29
2021-11-06,East Midlands,167.39
2021-11-07,East Midlands,167.76
2021-11-08,East Midlands,168.19
2021-11-09,East Midlands,169.1
2021-11-10,East Midlands,169.95
2021-11-11,East Midlands,170.55
2021-11-12,East Midlands,171.13
2021-11-13,East Midlands,171.5
2021-11-14,East Midlands,171.87
2021-11-15,East Midlands,172.33
2021-11-16,East Midlands,172.65
2021-11-17,East Midlands,172.93
2021-11-18,East Midlands,173.41
2021-11-19,East Midlands,173.98
2021-11-20,East Midlands,174.45
2021-11-21,East Midlands,175.15
2021-11-22,East Midlands,175.65
2021-11-23,East Midlands,175.98
