date,CBSA Title,cbsa_code,pct_chng_feb_1
2020-02-02,"Albuquerque, NM",10740,0.00688988478256825
2020-02-02,"Deltona-Daytona Beach-Ormond Beach, FL",19660,-0.0265066894718058
2020-02-02,"Rochester, NY",40380,0.062352316141423
2020-02-02,"Akron, OH",10420,-0.0621714204520618
2020-02-02,"El Paso, TX",21340,0.195352237576629
2020-02-02,"Raleigh-Cary, NC",39580,-0.38374184879314
2020-02-02,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,-0.0983266149902629
2020-02-02,"Buffalo-Cheektowaga, NY",15380,0.0171981378752184
2020-02-02,"San Jose-Sunnyvale-Santa Clara, CA",41940,0.0490568861120755
2020-02-02,"Winston-Salem, NC",49180,-0.0649797561825038
2020-02-02,"Baltimore-Columbia-Towson, MD",12580,-0.00144079530358665
2020-02-02,"Harrisburg-Carlisle, PA",25420,-0.021925951541002
2020-02-02,"Richmond, VA",40060,-0.119996279428081
2020-02-02,"Palm Bay-Melbourne-Titusville, FL",37340,-0.28992490725851
2020-02-02,"Knoxville, TN",28940,0.105348191055699
2020-02-02,"Las Vegas-Henderson-Paradise, NV",29820,-0.395126713353611
2020-02-02,"Pensacola-Ferry Pass-Brent, FL",37860,0.147552758925662
2020-02-02,"Stockton, CA",44700,0.631177919128922
2020-02-02,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,-0.0216921231519396
2020-02-02,"St. Louis, MO-IL",41180,-0.165243174328977
2020-02-02,"Kansas City, MO-KS",28140,-0.0647998594904609
2020-02-02,"Fresno, CA",23420,-0.298431103739061
2020-02-02,"Tampa-St. Petersburg-Clearwater, FL",45300,-0.19782626427447
2020-02-02,"Ogden-Clearfield, UT",36260,-7.18269574984109e-4
2020-02-02,"Columbia, SC",17900,-0.181206460898742
2020-02-02,"Spokane-Spokane Valley, WA",44060,0.0651621912213241
2020-02-02,"Providence-Warwick, RI-MA",39300,0.122307239291719
2020-02-02,"Hartford-East Hartford-Middletown, CT",25540,-0.0649703880549302
2020-02-02,"Springfield, MA",44140,-0.0385332502416902
2020-02-02,"Poughkeepsie-Newburgh-Middletown, NY",39100,-0.63176778943298
2020-02-02,"Birmingham-Hoover, AL",13820,0.0649008402023199
2020-02-02,"Boise City, ID",14260,-0.392076290325949
2020-02-02,"New York-Newark-Jersey City, NY-NJ-PA",35620,-0.110286593123399
2020-02-02,"Allentown-Bethlehem-Easton, PA-NJ",10900,-0.084763835925139
