date,jobcountry,indeed_job_postings_index,variable,display_name
2020-10-06,AU,66.03,total postings,Accounting
2020-10-07,AU,65.51,total postings,Accounting
2020-10-08,AU,65.23,total postings,Accounting
2020-10-09,AU,65.46,total postings,Accounting
2020-10-10,AU,65.73,total postings,Accounting
2020-10-11,AU,66.15,total postings,Accounting
2020-10-12,AU,66.79,total postings,Accounting
2020-10-13,AU,67.31,total postings,Accounting
2020-10-14,AU,67.92,total postings,Accounting
2020-10-15,AU,68.53,total postings,Accounting
2020-10-16,AU,68.9,total postings,Accounting
2020-10-17,AU,69.26,total postings,Accounting
2020-10-18,AU,69.56,total postings,Accounting
2020-10-19,AU,69.69,total postings,Accounting
2020-10-20,AU,69.76,total postings,Accounting
2020-10-21,AU,70.58,total postings,Accounting
2020-10-22,AU,70.89,total postings,Accounting
2020-10-23,AU,71.15,total postings,Accounting
2020-10-24,AU,71.06,total postings,Accounting
2020-10-25,AU,71.06,total postings,Accounting
2020-10-26,AU,71.35,total postings,Accounting
2020-10-27,AU,71.61,total postings,Accounting
2020-10-28,AU,71.26,total postings,Accounting
2020-10-29,AU,71.58,total postings,Accounting
2020-10-30,AU,72.33,total postings,Accounting
2020-10-31,AU,73.32,total postings,Accounting
2020-11-01,AU,74.13,total postings,Accounting
2020-11-02,AU,74.71,total postings,Accounting
2020-11-03,AU,75.28,total postings,Accounting
2020-11-04,AU,75.64,total postings,Accounting
2020-11-05,AU,75.91,total postings,Accounting
2020-11-06,AU,76.06,total postings,Accounting
2020-11-07,AU,76.17,total postings,Accounting
2020-11-08,AU,76.44,total postings,Accounting
2020-11-09,AU,76.68,total postings,Accounting
2020-11-10,AU,77.19,total postings,Accounting
2020-11-11,AU,77.89,total postings,Accounting
2020-11-12,AU,78.45,total postings,Accounting
2020-11-13,AU,79.06,total postings,Accounting
2020-11-14,AU,79.27,total postings,Accounting
2020-11-15,AU,79.86,total postings,Accounting
2020-11-16,AU,80.23,total postings,Accounting
2020-11-17,AU,80.54,total postings,Accounting
2020-11-18,AU,80.78,total postings,Accounting
2020-11-19,AU,81.11,total postings,Accounting
2020-11-20,AU,81.05,total postings,Accounting
2020-11-21,AU,81.3,total postings,Accounting
2020-11-22,AU,81.09,total postings,Accounting
2020-11-23,AU,81.13,total postings,Accounting
2020-11-24,AU,81.07,total postings,Accounting
2020-11-25,AU,81.07,total postings,Accounting
2020-11-26,AU,81.08,total postings,Accounting
2020-11-27,AU,81.12,total postings,Accounting
2020-11-28,AU,81.38,total postings,Accounting
2020-11-29,AU,81.71,total postings,Accounting
2020-11-30,AU,82.02,total postings,Accounting
2020-12-01,AU,82.35,total postings,Accounting
2020-12-02,AU,82.67,total postings,Accounting
2020-12-03,AU,82.98,total postings,Accounting
2020-12-04,AU,83.67,total postings,Accounting
2020-12-05,AU,84.45,total postings,Accounting
2020-12-06,AU,85.2,total postings,Accounting
2020-12-07,AU,86.08,total postings,Accounting
2020-12-08,AU,87.16,total postings,Accounting
2020-12-09,AU,88.31,total postings,Accounting
2020-12-10,AU,89.25,total postings,Accounting
2020-12-11,AU,90.08,total postings,Accounting
2020-12-12,AU,90.48,total postings,Accounting
2020-12-13,AU,91.23,total postings,Accounting
2020-12-14,AU,91.8,total postings,Accounting
2020-12-15,AU,92.13,total postings,Accounting
2020-12-16,AU,92.36,total postings,Accounting
2020-12-17,AU,92.81,total postings,Accounting
2020-12-18,AU,92.53,total postings,Accounting
2020-12-19,AU,92.17,total postings,Accounting
2020-12-20,AU,91.51,total postings,Accounting
2020-12-21,AU,90.79,total postings,Accounting
2020-12-22,AU,89.95,total postings,Accounting
2020-12-23,AU,89.05,total postings,Accounting
2020-12-24,AU,87.82,total postings,Accounting
2020-12-25,AU,86.94,total postings,Accounting
2020-12-26,AU,86.33,total postings,Accounting
2020-12-27,AU,85.9,total postings,Accounting
2020-12-28,AU,85.6,total postings,Accounting
2020-12-29,AU,85.56,total postings,Accounting
2020-12-30,AU,85.47,total postings,Accounting
2020-12-31,AU,85.42,total postings,Accounting
2021-01-01,AU,85.43,total postings,Accounting
2021-01-02,AU,85.73,total postings,Accounting
2021-01-03,AU,85.86,total postings,Accounting
2021-01-04,AU,86.4,total postings,Accounting
2021-01-05,AU,87.28,total postings,Accounting
2021-01-06,AU,88.3,total postings,Accounting
2021-01-07,AU,89.34,total postings,Accounting
2021-01-08,AU,90.19,total postings,Accounting
2021-01-09,AU,90.42,total postings,Accounting
2021-01-10,AU,90.3,total postings,Accounting
2021-01-11,AU,89.62,total postings,Accounting
2021-01-12,AU,88.83,total postings,Accounting
2021-01-13,AU,88.13,total postings,Accounting
2021-01-14,AU,87.68,total postings,Accounting
2021-01-15,AU,87.73,total postings,Accounting
2021-01-16,AU,87.89,total postings,Accounting
2021-01-17,AU,88.26,total postings,Accounting
2021-01-18,AU,88.73,total postings,Accounting
2021-01-19,AU,88.97,total postings,Accounting
2021-01-20,AU,88.83,total postings,Accounting
