date,province,indeed_job_postings_index
2021-05-06,ab,114.49
2021-05-07,ab,114.7
2021-05-08,ab,114.86
2021-05-09,ab,115.09
2021-05-10,ab,115.26
2021-05-11,ab,115.29
2021-05-12,ab,115.54
2021-05-13,ab,115.59
2021-05-14,ab,115.62
2021-05-15,ab,115.61
2021-05-16,ab,115.53
2021-05-17,ab,115.44
2021-05-18,ab,115.36
2021-05-19,ab,115.23
2021-05-20,ab,115.42
2021-05-21,ab,115.61
2021-05-22,ab,115.85
2021-05-23,ab,116.29
2021-05-24,ab,116.73
2021-05-25,ab,116.99
2021-05-26,ab,117.11
2021-05-27,ab,116.95
2021-05-28,ab,116.87
2021-05-29,ab,117.09
2021-05-30,ab,117.34
2021-05-31,ab,117.81
2021-06-01,ab,118.53
2021-06-02,ab,119.62
2021-06-03,ab,121.03
2021-06-04,ab,122.59
2021-06-05,ab,123.92
2021-06-06,ab,125.11
2021-06-07,ab,126.06
2021-06-08,ab,126.88
2021-06-09,ab,127.54
2021-06-10,ab,128.28
2021-06-11,ab,128.86
2021-06-12,ab,129.42
2021-06-13,ab,129.98
2021-06-14,ab,130.56
2021-06-15,ab,131.2
2021-06-16,ab,131.76
2021-06-17,ab,132.19
2021-06-18,ab,132.69
2021-06-19,ab,132.92
2021-06-20,ab,133.15
2021-06-21,ab,133.36
2021-06-22,ab,133.42
2021-06-23,ab,133.75
2021-06-24,ab,133.93
2021-06-25,ab,134.02
2021-06-26,ab,134.42
2021-06-27,ab,134.8
2021-06-28,ab,135.16
2021-06-29,ab,135.59
2021-06-30,ab,135.73
2021-07-01,ab,135.88
2021-07-02,ab,136.39
2021-07-03,ab,136.66
2021-07-04,ab,136.62
2021-07-05,ab,136.66
2021-07-06,ab,137.18
2021-07-07,ab,137.81
2021-07-08,ab,138.41
2021-07-09,ab,138.87
2021-07-10,ab,139.49
2021-07-11,ab,140.38
2021-07-12,ab,141.22
2021-07-13,ab,141.59
2021-07-14,ab,141.89
2021-07-15,ab,142.26
2021-07-16,ab,142.29
2021-07-17,ab,142.34
2021-07-18,ab,142.52
2021-07-19,ab,142.61
2021-07-20,ab,142.88
2021-07-21,ab,143.18
2021-07-22,ab,143.53
2021-07-23,ab,143.85
2021-07-24,ab,144.36
2021-07-25,ab,144.87
2021-07-26,ab,145.45
2021-07-27,ab,145.92
2021-07-28,ab,146.38
2021-07-29,ab,146.85
2021-07-30,ab,147.24
2021-07-31,ab,147.55
2021-08-01,ab,147.49
2021-08-02,ab,147.39
2021-08-03,ab,147.12
2021-08-04,ab,146.62
2021-08-05,ab,146.03
2021-08-06,ab,145.85
2021-08-07,ab,145.75
2021-08-08,ab,145.88
2021-08-09,ab,145.96
2021-08-10,ab,146.14
2021-08-11,ab,146.51
2021-08-12,ab,147.04
2021-08-13,ab,147.67
2021-08-14,ab,147.9
2021-08-15,ab,148.1
2021-08-16,ab,148.15
2021-08-17,ab,148.44
2021-08-18,ab,148.83
2021-08-19,ab,148.88
2021-08-20,ab,148.79
2021-08-21,ab,149.11
2021-08-22,ab,149.55
2021-08-23,ab,149.98
2021-08-24,ab,150.28
2021-08-25,ab,150.16
2021-08-26,ab,150.33
2021-08-27,ab,150.38
2021-08-28,ab,150.37
2021-08-29,ab,150.37
2021-08-30,ab,150.38
2021-08-31,ab,150.38
2021-09-01,ab,150.56
2021-09-02,ab,150.7
2021-09-03,ab,150.74
2021-09-04,ab,150.65
2021-09-05,ab,150.49
2021-09-06,ab,150.57
2021-09-07,ab,150.47
2021-09-08,ab,150.35
2021-09-09,ab,150.13
2021-09-10,ab,149.87
2021-09-11,ab,149.89
2021-09-12,ab,149.63
2021-09-13,ab,149.3
2021-09-14,ab,149.05
2021-09-15,ab,149.13
2021-09-16,ab,148.97
2021-09-17,ab,148.93
2021-09-18,ab,148.91
2021-09-19,ab,149.15
2021-09-20,ab,149.48
2021-09-21,ab,149.66
2021-09-22,ab,149.59
2021-09-23,ab,149.91
2021-09-24,ab,149.95
2021-09-25,ab,149.78
2021-09-26,ab,149.61
2021-09-27,ab,149.36
2021-09-28,ab,149.2
2021-09-29,ab,149.2
2021-09-30,ab,149.17
2021-10-01,ab,149.24
2021-10-02,ab,149.48
2021-10-03,ab,149.54
2021-10-04,ab,149.5
